2026-02-08 09:21:11,082 | WARNING | METCI | annual | empty statements
2026-02-08 09:35:20,532 | WARNING | OXSQH | annual | empty statements
2026-02-08 09:36:29,683 | WARNING | PCGpX | annual | empty statements
2026-02-08 09:37:39,666 | WARNING | PFFL | annual | empty statements
2026-02-08 09:37:42,718 | WARNING | PFH | annual | empty statements
2026-02-08 09:37:54,088 | WARNING | PFXNZ | annual | empty statements
2026-02-08 09:39:30,627 | WARNING | PMTU | annual | empty statements
2026-02-08 09:39:31,151 | WARNING | PMTV | annual | empty statements
2026-02-08 09:39:31,719 | WARNING | PMTW | annual | empty statements
2026-02-08 09:40:29,822 | WARNING | PRH | annual | empty statements
2026-02-08 09:40:31,597 | WARNING | PRHIZ | annual | empty statements
2026-02-08 09:40:57,152 | WARNING | PRS | annual | empty statements
2026-02-08 09:42:00,312 | WARNING | PURR | annual | empty statements
2026-02-08 09:42:17,294 | WARNING | PYT | annual | empty statements
2026-02-08 09:42:56,804 | WARNING | QULL | annual | empty statements
2026-02-08 09:42:58,801 | WARNING | QVCC | annual | empty statements
2026-02-08 09:42:59,384 | WARNING | QVCD | annual | empty statements
2026-02-08 09:43:38,925 | WARNING | RCB | annual | empty statements
2026-02-08 09:43:39,540 | WARNING | RCC | annual | empty statements
2026-02-08 09:43:40,073 | WARNING | RCD | annual | empty statements
2026-02-08 09:45:40,539 | WARNING | RILYG | annual | empty statements
2026-02-08 09:45:43,287 | WARNING | RILYK | annual | empty statements
2026-02-08 09:45:45,688 | WARNING | RILYN | annual | empty statements
2026-02-08 09:45:48,546 | WARNING | RILYT | annual | empty statements
2026-02-08 09:45:49,129 | WARNING | RILYZ | annual | empty statements
2026-02-08 09:48:32,055 | WARNING | RWAYL | annual | empty statements
2026-02-08 09:48:32,624 | WARNING | RWAYZ | annual | empty statements
2026-02-08 09:48:34,437 | WARNING | RWTN | annual | empty statements
2026-02-08 09:48:35,030 | WARNING | RWTO | annual | empty statements
2026-02-08 09:48:35,654 | WARNING | RWTP | annual | empty statements
2026-02-08 09:48:36,196 | WARNING | RWTQ | annual | empty statements
2026-02-08 09:48:52,642 | WARNING | RZB | annual | empty statements
2026-02-08 09:48:53,155 | WARNING | RZC | annual | empty statements
2026-02-08 09:49:15,696 | WARNING | SAJ | annual | empty statements
2026-02-08 09:49:28,023 | WARNING | SAT | annual | empty statements
2026-02-08 09:49:33,939 | WARNING | SAY | annual | empty statements
2026-02-08 09:49:34,519 | WARNING | SAZ | annual | empty statements
2026-02-08 09:50:00,906 | WARNING | SBXE | annual | empty statements
2026-02-08 09:50:01,454 | WARNING | SCCD | annual | empty statements
2026-02-08 09:50:02,474 | WARNING | SCCE | annual | empty statements
2026-02-08 09:50:03,017 | WARNING | SCCF | annual | empty statements
2026-02-08 09:50:03,563 | WARNING | SCCG | annual | empty statements
2026-02-08 09:50:07,906 | WARNING | SCDL | annual | empty statements
2026-02-08 09:51:07,400 | WARNING | SEV | annual | empty statements
2026-02-08 09:51:11,406 | WARNING | SFB | annual | empty statements
2026-02-08 09:53:34,334 | WARNING | SLVO | annual | empty statements
2026-02-08 09:53:47,517 | WARNING | SMHB | annual | empty statements
2026-02-08 09:54:58,647 | WARNING | SOJC | annual | empty statements
2026-02-08 09:54:59,207 | WARNING | SOJD | annual | empty statements
2026-02-08 09:54:59,731 | WARNING | SOJE | annual | empty statements
2026-02-08 09:55:00,283 | WARNING | SOJF | annual | empty statements
2026-02-08 09:56:11,385 | WARNING | SREA | annual | empty statements
2026-02-08 09:56:15,317 | WARNING | SRJN | annual | empty statements
2026-02-08 09:56:39,880 | WARNING | SSSSL | annual | empty statements
2026-02-08 09:57:55,316 | WARNING | SUNC | annual | empty statements
2026-02-08 09:58:23,120 | WARNING | SWKHL | annual | empty statements
2026-02-08 09:59:25,786 | WARNING | TCPA | annual | empty statements
2026-02-08 09:59:56,608 | WARNING | TECTP | annual | empty statements
2026-02-08 10:00:22,211 | WARNING | TFSA | annual | empty statements
2026-02-08 10:01:52,412 | WARNING | TMUSI | annual | empty statements
2026-02-08 10:01:52,998 | WARNING | TMUSL | annual | empty statements
2026-02-08 10:01:53,651 | WARNING | TMUSZ | annual | empty statements
2026-02-08 10:02:33,865 | WARNING | TPGXL | annual | empty statements
2026-02-08 10:02:41,102 | WARNING | TPTA | annual | empty statements
2026-02-08 10:02:58,473 | WARNING | TRINI | annual | empty statements
2026-02-08 10:02:59,075 | WARNING | TRINZ | annual | empty statements
2026-02-08 10:04:16,014 | WARNING | TVC | annual | empty statements
2026-02-08 10:04:16,586 | WARNING | TVE | annual | empty statements
2026-02-08 10:04:35,240 | WARNING | TWOD | annual | empty statements
2026-02-08 10:05:13,886 | WARNING | UCIB | annual | empty statements
2026-02-08 10:06:11,706 | WARNING | UNMA | annual | empty statements
2026-02-08 10:06:59,302 | WARNING | USML | annual | empty statements
2026-02-08 10:07:00,976 | WARNING | USOI | annual | empty statements
2026-02-08 10:07:19,871 | WARNING | UZD | annual | empty statements
2026-02-08 10:07:20,406 | WARNING | UZE | annual | empty statements
2026-02-08 10:07:21,003 | WARNING | UZF | annual | empty statements
2026-02-08 10:10:35,214 | WARNING | VXX | annual | empty statements
2026-02-08 10:10:35,753 | WARNING | VXZ | annual | empty statements
2026-02-08 10:11:49,952 | WARNING | WHFCL | annual | empty statements
2026-02-08 10:11:54,242 | WARNING | WHLRL | annual | empty statements
2026-02-08 10:14:01,663 | WARNING | XELLL | annual | empty statements
2026-02-08 10:15:54,513 | WARNING | ZTR | annual | empty statements
2026-02-08 11:33:19,630 | WARNING | ABXL | annual | empty statements
2026-02-08 11:34:21,404 | WARNING | ADAMG | annual | empty statements
2026-02-08 11:34:21,930 | WARNING | ADAMH | annual | empty statements
2026-02-08 11:34:22,550 | WARNING | ADAMI | annual | empty statements
2026-02-08 11:34:26,632 | WARNING | ADAMO | annual | empty statements
2026-02-08 11:35:05,810 | WARNING | AEFC | annual | empty statements
2026-02-08 11:35:33,422 | WARNING | AFGB | annual | empty statements
2026-02-08 11:35:33,945 | WARNING | AFGC | annual | empty statements
2026-02-08 11:35:34,491 | WARNING | AFGD | annual | empty statements
2026-02-08 11:35:35,015 | WARNING | AFGE | annual | empty statements
2026-02-08 11:36:58,049 | WARNING | AIZN | annual | empty statements
2026-02-08 11:37:51,282 | WARNING | ALOVU | annual | empty statements
2026-02-08 11:39:06,879 | WARNING | AMUB | annual | empty statements
2026-02-08 11:39:45,113 | WARNING | AOMD | annual | empty statements
2026-02-08 11:39:45,611 | WARNING | AOMN | annual | empty statements
2026-02-08 11:40:14,984 | WARNING | APOS | annual | empty statements
2026-02-08 11:40:33,109 | WARNING | AQNB | annual | empty statements
2026-02-08 11:42:30,086 | WARNING | ATHS | annual | empty statements
2026-02-08 11:42:34,903 | WARNING | ATLCL | annual | empty statements
2026-02-08 11:42:37,614 | WARNING | ATLCZ | annual | empty statements
2026-02-08 11:42:42,965 | WARNING | ATMP | annual | empty statements
2026-02-08 11:43:27,579 | WARNING | AVBH | annual | empty statements
2026-02-08 11:44:45,981 | WARNING | BANFP | annual | empty statements
2026-02-08 11:45:53,727 | WARNING | BCSS | annual | empty statements
2026-02-08 11:46:01,293 | WARNING | BDCX | annual | empty statements
2026-02-08 11:46:01,832 | WARNING | BDCZ | annual | empty statements
2026-02-08 11:46:26,363 | WARNING | BEPH | annual | empty statements
2026-02-08 11:46:26,900 | WARNING | BEPI | annual | empty statements
2026-02-08 11:46:27,446 | WARNING | BEPJ | annual | empty statements
2026-02-08 11:46:28,038 | WARNING | BERZ | annual | empty statements
2026-02-08 11:47:11,927 | WARNING | BHFAL | annual | empty statements
2026-02-08 11:47:37,646 | WARNING | BIPH | annual | empty statements
2026-02-08 11:47:38,172 | WARNING | BIPI | annual | empty statements
2026-02-08 11:47:39,026 | WARNING | BIPJ | annual | empty statements
2026-02-08 11:49:12,682 | WARNING | BNH | annual | empty statements
2026-02-08 11:49:13,461 | WARNING | BNJ | annual | empty statements
2026-02-08 11:49:50,893 | WARNING | BPOPM | annual | empty statements
2026-02-08 11:49:51,388 | WARNING | BPRE | annual | empty statements
2026-02-08 11:49:53,340 | WARNING | BPYPM | annual | empty statements
2026-02-08 11:50:20,314 | WARNING | BRR | annual | empty statements
2026-02-08 11:51:18,724 | WARNING | BULZ | annual | empty statements
2026-02-08 11:51:48,542 | WARNING | BWNB | annual | empty statements
2026-02-08 11:54:10,952 | WARNING | CCZ | annual | empty statements
2026-02-08 11:54:35,785 | WARNING | CEFD | annual | empty statements
2026-02-08 11:55:06,523 | WARNING | CFND | annual | empty statements
2026-02-08 11:55:10,128 | WARNING | CGABL | annual | empty statements
2026-02-08 11:55:26,058 | WARNING | CHAI | annual | empty statements
2026-02-08 11:55:48,965 | WARNING | CHSCL | annual | empty statements
2026-02-08 11:55:49,610 | WARNING | CHSCM | annual | empty statements
2026-02-08 11:55:50,267 | WARNING | CHSCN | annual | empty statements
2026-02-08 11:55:51,675 | WARNING | CHSCO | annual | empty statements
2026-02-08 11:55:52,336 | WARNING | CHSCP | annual | empty statements
2026-02-08 11:56:04,530 | WARNING | CICB | annual | empty statements
2026-02-08 11:56:16,855 | WARNING | CIMN | annual | empty statements
2026-02-08 11:56:17,361 | WARNING | CIMO | annual | empty statements
2026-02-08 11:56:17,929 | WARNING | CIMP | annual | empty statements
2026-02-08 11:56:26,885 | WARNING | CITR | annual | empty statements
2026-02-08 11:57:41,495 | WARNING | CMSA | annual | empty statements
2026-02-08 11:57:42,131 | WARNING | CMSC | annual | empty statements
2026-02-08 11:57:42,696 | WARNING | CMSD | annual | empty statements
2026-02-08 11:59:39,183 | WARNING | CRBD | annual | empty statements
2026-02-08 12:00:55,411 | WARNING | CTBB | annual | empty statements
2026-02-08 12:00:58,292 | WARNING | CTDD | annual | empty statements
2026-02-08 12:01:26,642 | WARNING | CUBB | annual | empty statements
2026-02-08 12:03:21,956 | WARNING | DCOMG | annual | empty statements
2026-02-08 12:03:33,514 | WARNING | DDT | annual | empty statements
2026-02-08 12:04:03,215 | WARNING | DGP | annual | empty statements
2026-02-08 12:04:05,990 | WARNING | DGZ | annual | empty statements
2026-02-08 12:04:09,739 | WARNING | DHCNI | annual | empty statements
2026-02-08 12:04:10,298 | WARNING | DHCNL | annual | empty statements
2026-02-08 12:04:29,045 | WARNING | DJP | annual | empty statements
2026-02-08 12:05:54,500 | WARNING | DTB | annual | empty statements
2026-02-08 12:05:56,264 | WARNING | DTCX | annual | empty statements
2026-02-08 12:05:59,497 | WARNING | DTG | annual | empty statements
2026-02-08 12:06:03,075 | WARNING | DTK | annual | empty statements
2026-02-08 12:06:06,918 | WARNING | DTW | annual | empty statements
2026-02-08 12:06:08,936 | WARNING | DUKB | annual | empty statements
2026-02-08 12:06:36,633 | WARNING | DZZ | annual | empty statements
2026-02-08 12:06:41,590 | WARNING | EAI | annual | empty statements
2026-02-08 12:06:57,713 | WARNING | ECCU | annual | empty statements
2026-02-08 12:06:58,249 | WARNING | ECCV | annual | empty statements
2026-02-08 12:06:58,808 | WARNING | ECCW | annual | empty statements
2026-02-08 12:06:59,353 | WARNING | ECCX | annual | empty statements
2026-02-08 12:08:01,060 | WARNING | EIIA | annual | empty statements
2026-02-08 12:08:12,833 | WARNING | ELC | annual | empty statements
2026-02-08 12:08:46,886 | WARNING | EMP | annual | empty statements
2026-02-08 12:08:55,461 | WARNING | ENJ | annual | empty statements
2026-02-08 12:08:58,216 | WARNING | ENO | annual | empty statements
2026-02-08 12:11:02,787 | WARNING | EVMN | annual | empty statements
2026-02-08 12:12:32,883 | WARNING | FCRX | annual | empty statements
2026-02-08 12:13:15,628 | WARNING | FGN | annual | empty statements
2026-02-08 12:13:19,426 | WARNING | FGSN | annual | empty statements
2026-02-08 12:14:14,916 | WARNING | FLYD | annual | empty statements
2026-02-08 12:14:16,556 | WARNING | FLYU | annual | empty statements
2026-02-08 12:14:40,398 | WARNING | FNGD | annual | empty statements
2026-02-08 12:14:40,917 | WARNING | FNGO | annual | empty statements
2026-02-08 12:14:42,609 | WARNING | FNGS | annual | empty statements
2026-02-08 12:15:27,955 | WARNING | FRMI | annual | empty statements
2026-02-08 12:16:51,782 | WARNING | GAINI | annual | empty statements
2026-02-08 12:16:52,409 | WARNING | GAINN | annual | empty statements
2026-02-08 12:16:54,031 | WARNING | GAINZ | annual | empty statements
2026-02-08 12:17:44,759 | WARNING | GDXD | annual | empty statements
2026-02-08 12:17:45,295 | WARNING | GDXU | annual | empty statements
2026-02-08 12:17:48,158 | WARNING | GECCG | annual | empty statements
2026-02-08 12:17:48,712 | WARNING | GECCH | annual | empty statements
2026-02-08 12:17:49,260 | WARNING | GECCI | annual | empty statements
2026-02-08 12:17:49,774 | WARNING | GECCO | annual | empty statements
2026-02-08 12:17:53,721 | WARNING | GEGGL | annual | empty statements
2026-02-08 12:18:49,302 | WARNING | GIW | annual | empty statements
2026-02-08 12:18:49,893 | WARNING | GIWWU | annual | empty statements
2026-02-08 12:18:50,502 | WARNING | GIXXU | annual | empty statements
2026-02-08 12:18:51,073 | WARNING | GJH | annual | empty statements
2026-02-08 12:18:52,379 | WARNING | GJO | annual | empty statements
2026-02-08 12:18:52,878 | WARNING | GJP | annual | empty statements
2026-02-08 12:18:53,413 | WARNING | GJR | annual | empty statements
2026-02-08 12:18:53,984 | WARNING | GJS | annual | empty statements
2026-02-08 12:18:55,149 | WARNING | GJT | annual | empty statements
2026-02-08 12:19:04,808 | WARNING | GLDI | annual | empty statements
2026-02-08 12:20:21,594 | WARNING | GPJA | annual | empty statements
2026-02-08 12:20:42,150 | WARNING | GREEL | annual | empty statements
2026-02-08 12:20:48,116 | WARNING | GRN | annual | empty statements
2026-02-08 12:22:40,272 | WARNING | HCXY | annual | empty statements
2026-02-08 12:22:47,036 | WARNING | HDLB | annual | empty statements
2026-02-08 12:24:04,235 | WARNING | HNNAZ | annual | empty statements
2026-02-08 12:25:12,046 | WARNING | HTFC | annual | empty statements
2026-02-08 12:25:42,567 | WARNING | HVMC | annual | empty statements
2026-02-08 12:25:48,667 | WARNING | HWCPZ | annual | empty statements
2026-02-08 12:27:02,862 | WARNING | IFED | annual | empty statements
2026-02-08 12:28:16,470 | WARNING | INBKZ | annual | empty statements
2026-02-08 12:29:36,446 | WARNING | IPB | annual | empty statements
2026-02-08 12:30:42,902 | WARNING | IWDL | annual | empty statements
2026-02-08 12:30:43,481 | WARNING | IWFL | annual | empty statements
2026-02-08 12:30:44,010 | WARNING | IWML | annual | empty statements
2026-02-08 12:31:04,913 | WARNING | JBIO | annual | empty statements
2026-02-08 12:31:06,210 | WARNING | JBK | annual | empty statements
2026-02-08 12:32:09,478 | WARNING | JSM | annual | empty statements
2026-02-08 12:33:14,279 | WARNING | KKRS | annual | empty statements
2026-02-08 12:33:14,804 | WARNING | KKRT | annual | empty statements
2026-02-08 12:33:27,962 | WARNING | KMPB | annual | empty statements
2026-02-08 12:34:32,561 | WARNING | KTH | annual | empty statements
2026-02-08 12:34:33,108 | WARNING | KTN | annual | empty statements
2026-02-08 12:41:20,949 | WARNING | METCI | annual | empty statements
2026-02-08 12:41:21,493 | WARNING | METCZ | annual | empty statements
2026-02-08 12:41:23,585 | WARNING | MFAN | annual | empty statements
2026-02-08 12:41:24,390 | WARNING | MFAO | annual | empty statements
2026-02-08 12:41:30,020 | WARNING | MFICL | annual | empty statements
2026-02-08 12:41:51,303 | WARNING | MGR | annual | empty statements
2026-02-08 12:41:51,964 | WARNING | MGRB | annual | empty statements
2026-02-08 12:41:53,755 | WARNING | MGRD | annual | empty statements
2026-02-08 12:41:54,286 | WARNING | MGRE | annual | empty statements
2026-02-08 12:42:09,461 | WARNING | MHLA | annual | empty statements
2026-02-08 12:42:11,140 | WARNING | MHNC | annual | empty statements
2026-02-08 12:42:31,088 | WARNING | MITN | annual | empty statements
2026-02-08 12:42:31,611 | WARNING | MITP | annual | empty statements
2026-02-08 12:42:58,045 | WARNING | MLPB | annual | empty statements
2026-02-08 12:42:58,571 | WARNING | MLPR | annual | empty statements
2026-02-08 12:45:27,619 | WARNING | MTUL | annual | empty statements
2026-02-08 12:45:52,575 | WARNING | MVRL | annual | empty statements
2026-02-08 12:46:46,064 | WARNING | NAVN | annual | empty statements
2026-02-08 12:48:04,902 | WARNING | NEWTG | annual | empty statements
2026-02-08 12:48:05,439 | WARNING | NEWTH | annual | empty statements
2026-02-08 12:48:05,996 | WARNING | NEWTI | annual | empty statements
2026-02-08 12:49:14,601 | WARNING | NMFCZ | annual | empty statements
2026-02-08 12:50:30,019 | WARNING | NRUC | annual | empty statements
2026-02-08 12:53:14,513 | WARNING | OFSSH | annual | empty statements
2026-02-08 12:53:15,039 | WARNING | OFSSO | annual | empty statements
2026-02-08 12:53:29,561 | WARNING | OILD | annual | empty statements
2026-02-08 12:53:30,059 | WARNING | OILU | annual | empty statements
2026-02-08 12:56:01,764 | WARNING | OXLCG | annual | empty statements
2026-02-08 12:56:02,489 | WARNING | OXLCI | annual | empty statements
2026-02-08 12:56:03,005 | WARNING | OXLCL | annual | empty statements
2026-02-08 12:56:08,023 | WARNING | OXLCZ | annual | empty statements
2026-02-08 12:56:11,279 | WARNING | OXSQG | annual | empty statements
2026-02-08 12:56:11,811 | WARNING | OXSQH | annual | empty statements
2026-02-08 12:57:29,872 | WARNING | PCGpX | annual | empty statements
2026-02-08 12:58:36,948 | WARNING | PFFL | annual | empty statements
2026-02-08 12:58:40,147 | WARNING | PFH | annual | empty statements
2026-02-08 12:58:52,580 | WARNING | PFXNZ | annual | empty statements
2026-02-08 13:00:40,771 | WARNING | PMTU | annual | empty statements
2026-02-08 13:00:41,305 | WARNING | PMTV | annual | empty statements
2026-02-08 13:00:42,020 | WARNING | PMTW | annual | empty statements
2026-02-08 13:01:40,330 | WARNING | PRH | annual | empty statements
2026-02-08 13:01:41,938 | WARNING | PRHIZ | annual | empty statements
2026-02-08 13:02:04,584 | WARNING | PRS | annual | empty statements
2026-02-08 13:03:11,403 | WARNING | PURR | annual | empty statements
2026-02-08 13:03:28,299 | WARNING | PYT | annual | empty statements
2026-02-08 13:04:12,318 | WARNING | QULL | annual | empty statements
2026-02-08 13:04:14,075 | WARNING | QVCC | annual | empty statements
2026-02-08 13:04:14,897 | WARNING | QVCD | annual | empty statements
2026-02-08 13:04:53,991 | WARNING | RCB | annual | empty statements
2026-02-08 13:04:54,532 | WARNING | RCC | annual | empty statements
2026-02-08 13:04:55,063 | WARNING | RCD | annual | empty statements
2026-02-08 13:06:36,977 | WARNING | RILYG | annual | empty statements
2026-02-08 13:06:37,589 | WARNING | RILYK | annual | empty statements
2026-02-08 13:06:40,065 | WARNING | RILYN | annual | empty statements
2026-02-08 13:06:41,742 | WARNING | RILYT | annual | empty statements
2026-02-08 13:06:42,271 | WARNING | RILYZ | annual | empty statements
2026-02-08 13:08:44,871 | WARNING | RWAYL | annual | empty statements
2026-02-08 13:08:45,401 | WARNING | RWAYZ | annual | empty statements
2026-02-08 13:08:47,075 | WARNING | RWTN | annual | empty statements
2026-02-08 13:08:47,587 | WARNING | RWTO | annual | empty statements
2026-02-08 13:08:48,605 | WARNING | RWTP | annual | empty statements
2026-02-08 13:08:49,106 | WARNING | RWTQ | annual | empty statements
2026-02-08 13:09:07,241 | WARNING | RZB | annual | empty statements
2026-02-08 13:09:07,762 | WARNING | RZC | annual | empty statements
2026-02-08 13:09:30,794 | WARNING | SAJ | annual | empty statements
2026-02-08 13:09:42,887 | WARNING | SAT | annual | empty statements
2026-02-08 13:09:48,480 | WARNING | SAY | annual | empty statements
2026-02-08 13:09:49,097 | WARNING | SAZ | annual | empty statements
2026-02-08 13:10:15,673 | WARNING | SBXE | annual | empty statements
2026-02-08 13:10:16,196 | WARNING | SCCD | annual | empty statements
2026-02-08 13:10:16,732 | WARNING | SCCE | annual | empty statements
2026-02-08 13:10:17,226 | WARNING | SCCF | annual | empty statements
2026-02-08 13:10:17,720 | WARNING | SCCG | annual | empty statements
2026-02-08 13:10:20,857 | WARNING | SCDL | annual | empty statements
2026-02-08 13:11:19,477 | WARNING | SEV | annual | empty statements
2026-02-08 13:11:23,490 | WARNING | SFB | annual | empty statements
2026-02-08 13:13:40,890 | WARNING | SLVO | annual | empty statements
2026-02-08 13:13:54,042 | WARNING | SMHB | annual | empty statements
2026-02-08 13:15:02,977 | WARNING | SOJC | annual | empty statements
2026-02-08 13:15:03,497 | WARNING | SOJD | annual | empty statements
2026-02-08 13:15:04,014 | WARNING | SOJE | annual | empty statements
2026-02-08 13:15:04,526 | WARNING | SOJF | annual | empty statements
2026-02-08 13:16:18,272 | WARNING | SREA | annual | empty statements
2026-02-08 13:16:22,862 | WARNING | SRJN | annual | empty statements
2026-02-08 13:16:48,207 | WARNING | SSSSL | annual | empty statements
2026-02-08 13:18:08,191 | WARNING | SUNC | annual | empty statements
2026-02-08 13:18:35,913 | WARNING | SWKHL | annual | empty statements
2026-02-08 13:19:43,846 | WARNING | TCPA | annual | empty statements
2026-02-08 13:20:15,671 | WARNING | TECTP | annual | empty statements
2026-02-08 13:20:39,627 | WARNING | TFSA | annual | empty statements
2026-02-08 13:22:19,230 | WARNING | TMUSI | annual | empty statements
2026-02-08 13:22:19,738 | WARNING | TMUSL | annual | empty statements
2026-02-08 13:22:20,272 | WARNING | TMUSZ | annual | empty statements
2026-02-08 13:22:59,596 | WARNING | TPGXL | annual | empty statements
2026-02-08 13:23:04,777 | WARNING | TPTA | annual | empty statements
2026-02-08 13:23:21,915 | WARNING | TRINI | annual | empty statements
2026-02-08 13:23:22,430 | WARNING | TRINZ | annual | empty statements
2026-02-08 13:24:36,100 | WARNING | TVC | annual | empty statements
2026-02-08 13:24:37,199 | WARNING | TVE | annual | empty statements
2026-02-08 13:24:57,827 | WARNING | TWOD | annual | empty statements
2026-02-08 13:25:36,814 | WARNING | UCIB | annual | empty statements
2026-02-08 13:26:33,635 | WARNING | UNMA | annual | empty statements
2026-02-08 13:27:15,733 | WARNING | USML | annual | empty statements
2026-02-08 13:27:17,819 | WARNING | USOI | annual | empty statements
2026-02-08 13:27:36,298 | WARNING | UZD | annual | empty statements
2026-02-08 13:27:36,794 | WARNING | UZE | annual | empty statements
2026-02-08 13:27:37,329 | WARNING | UZF | annual | empty statements
2026-02-08 13:30:38,810 | WARNING | VXX | annual | empty statements
2026-02-08 13:30:39,336 | WARNING | VXZ | annual | empty statements
2026-02-08 13:31:51,568 | WARNING | WHFCL | annual | empty statements
2026-02-08 13:31:55,479 | WARNING | WHLRL | annual | empty statements
2026-02-08 13:33:52,993 | WARNING | XELLL | annual | empty statements
2026-02-08 13:35:42,309 | WARNING | ZTR | annual | empty statements
2026-02-08 13:49:18,488 | INFO | start fundamentals | freq=quarterly | total_symbols=50 | chunk_size=25
2026-02-08 13:49:53,450 | INFO | batch done | 25/50 (50.0%) | batch_symbols=25 | upsert_rows=158 | elapsed=0.6m
2026-02-08 13:50:07,698 | WARNING | ABXL | quarterly | empty statements
2026-02-08 13:50:28,544 | INFO | batch done | 50/50 (100.0%) | batch_symbols=25 | upsert_rows=134 | elapsed=1.2m
2026-02-08 13:50:53,550 | INFO | start fundamentals | freq=quarterly | total_symbols=10 | chunk_size=25
2026-02-08 13:51:09,812 | INFO | batch done | 10/10 (100.0%) | batch_symbols=10 | upsert_rows=63 | elapsed=0.3m
2026-02-08 13:52:12,663 | INFO | start fundamentals | freq=quarterly | total_symbols=5 | chunk_size=25
2026-02-08 13:52:18,798 | INFO | batch done | 5/5 (100.0%) | batch_symbols=5 | upsert_rows=32 | elapsed=0.1m
2026-02-08 13:52:54,584 | INFO | start fundamentals | freq=quarterly | total_symbols=5 | chunk_size=25
2026-02-08 13:53:01,803 | INFO | batch done | 5/5 (100.0%) | batch_symbols=5 | upsert_rows=32 | elapsed=0.1m
2026-02-08 13:53:21,736 | INFO | start fundamentals | freq=quarterly | total_symbols=5 | chunk_size=25
2026-02-08 13:53:23,758 | INFO | batch done | 5/5 (100.0%) | batch_symbols=5 | upsert_rows=32 | elapsed=0.0m
2026-02-08 13:53:47,586 | INFO | start fundamentals | freq=quarterly | total_symbols=5 | chunk_size=25
2026-02-08 13:54:02,120 | INFO | batch done | 5/5 (100.0%) | batch_symbols=5 | upsert_rows=32 | elapsed=0.2m
2026-02-08 15:13:28,200 | INFO | start fundamentals | freq=quarterly | total_symbols=5782 | chunk_size=25
2026-02-08 15:14:24,145 | INFO | batch done | 25/5782 (0.4%) | batch_symbols=25 | upsert_rows=158 | elapsed=0.9m
2026-02-08 15:14:44,584 | WARNING | ABXL | quarterly | empty statements
2026-02-08 15:15:19,677 | INFO | batch done | 50/5782 (0.9%) | batch_symbols=25 | upsert_rows=134 | elapsed=1.9m
2026-02-08 15:16:21,963 | INFO | batch done | 75/5782 (1.3%) | batch_symbols=25 | upsert_rows=148 | elapsed=2.9m
2026-02-08 15:16:34,730 | WARNING | ADAMG | quarterly | empty statements
2026-02-08 15:16:35,239 | WARNING | ADAMH | quarterly | empty statements
2026-02-08 15:16:35,767 | WARNING | ADAMI | quarterly | empty statements
2026-02-08 15:16:44,932 | WARNING | ADAMO | quarterly | empty statements
2026-02-08 15:17:12,495 | INFO | batch done | 100/5782 (1.7%) | batch_symbols=25 | upsert_rows=126 | elapsed=3.7m
2026-02-08 15:17:44,651 | WARNING | AEFC | quarterly | empty statements
2026-02-08 15:18:05,611 | INFO | batch done | 125/5782 (2.2%) | batch_symbols=25 | upsert_rows=133 | elapsed=4.6m
2026-02-08 15:18:32,355 | WARNING | AFGB | quarterly | empty statements
